iter	Passed	Remaining
897	1421	161
898	1423	159
899	1424	158
900	1426	156
901	1427	155
902	1428	153
903	1429	151
904	1430	150
905	1432	148
906	1433	146
907	1434	145
908	1435	143
909	1436	142
910	1438	140
911	1439	138
912	1441	137
913	1442	135
914	1443	134
915	1445	132
916	1446	130
917	1447	129
918	1448	127
919	1449	126
920	1451	124
921	1452	122
922	1453	121
923	1455	119
924	1456	118
925	1458	116
926	1459	114
927	1460	113
928	1461	111
929	1462	110
930	1464	108
931	1465	106
932	1467	105
933	1468	103
934	1470	102
935	1471	100
936	1472	99
937	1474	97
938	1475	95
939	1476	94
940	1478	92
941	1479	91
942	1480	89
943	1482	87
944	1483	86
945	1484	84
946	1486	83
947	1487	81
948	1489	80
949	1490	78
950	1491	76
951	1492	75
952	1494	73
953	1495	72
954	1496	70
955	1498	68
956	1499	67
957	1500	65
958	1502	64
959	1503	62
960	1504	61
961	1506	59
962	1507	57
963	1508	56
964	1509	54
965	1510	53
966	1512	51
967	1514	50
968	1515	48
969	1516	46
970	1517	45
971	1519	43
972	1520	42
973	1522	40
974	1523	39
975	1525	37
976	1526	35
977	1528	34
978	1529	32
979	1530	31
980	1532	29
981	1533	28
982	1534	26
983	1536	24
984	1537	23
985	1539	21
986	1540	20
987	1541	18
988	1543	17
989	1544	15
990	1546	14
991	1547	12
992	1549	10
993	1550	9
994	1552	7
995	1553	6
996	1555	4
997	1556	3
998	1558	1
999	1560	0
